fighter_name,Height,Weight,Reach,Stance,DOB
Stipe Miocic ,"6' 4""",240 lbs.,"80""",Orthodox,"Aug 19, 1982"
Daniel Cormier ,"5' 11""",235 lbs.,"72""",Orthodox,"Mar 20, 1979"
Sean O'Malley ,"5' 11""",135 lbs.,"72""",Switch,"Oct 24, 1994"
Marlon Vera ,"5' 8""",135 lbs.,"70""",Switch,"Dec 02, 1992"
Junior Dos Santos ,"6' 4""",238 lbs.,"77""",Orthodox,"Jan 30, 1984"
Jairzinho Rozenstruik ,"6' 4""",242 lbs.,"78""",Orthodox,"Mar 17, 1988"
Herbert Burns ,"5' 9""",145 lbs.,"73""",Orthodox,"Feb 02, 1988"
Daniel Pineda ,"5' 7""",145 lbs.,"69""",Orthodox,"Aug 06, 1985"
John Dodson ,"5' 3""",135 lbs.,"66""",Orthodox,"Sep 26, 1984"
Merab Dvalishvili ,"5' 6""",135 lbs.,"68""",Orthodox,"Jan 10, 1991"
Jim Miller ,"5' 8""",155 lbs.,"71""",Southpaw,"Aug 30, 1983"
Vinc Pichel ,"5' 10""",155 lbs.,"72""",Orthodox,"Nov 23, 1982"
Felice Herrig ,"5' 4""",115 lbs.,"65""",Orthodox,"Sep 18, 1984"
Virna Jandiroba ,"5' 3""",115 lbs.,"64""",Orthodox,"May 30, 1988"
TJ Brown ,"5' 9""",145 lbs.,"72""",Switch,"May 22, 1990"
Danny Chavez ,"5' 8""",145 lbs.,"67""",Orthodox,"Mar 14, 1987"
Ashley Yoder ,"5' 7""",115 lbs.,"69""",Southpaw,"Oct 20, 1987"
Livinha Souza ,"5' 3""",115 lbs.,"63""",Orthodox,"Mar 11, 1991"
Chris Daukaus ,"6' 3""",250 lbs.,"76""",Orthodox,"Sep 25, 1989"
Parker Porter ,"6' 0""",265 lbs.,"75""",Orthodox,"Apr 22, 1985"
Kai Kamaka ,"5' 7""",145 lbs.,"69""",Orthodox,"Jan 05, 1995"
Tony Kelley ,"5' 9""",145 lbs.,"70""",Switch,"Jan 21, 1987"
Pedro Munhoz ,"5' 6""",135 lbs.,"65""",Orthodox,"Sep 07, 1986"
Frankie Edgar ,"5' 6""",135 lbs.,"68""",Orthodox,"Oct 16, 1981"
Marcin Prachnio ,"6' 3""",205 lbs.,"74""",Orthodox,"Jul 14, 1988"
Mike Rodriguez ,"6' 4""",205 lbs.,"82""",Southpaw,"Nov 28, 1988"
Austin Hubbard ,"5' 10""",155 lbs.,"71""",Orthodox,"Dec 22, 1991"
Joe Solecki ,"5' 9""",155 lbs.,"70""",Orthodox,"Aug 27, 1993"
Mariya Agapova ,"5' 6""",125 lbs.,"68""",Southpaw,"Apr 07, 1997"
Shana Dobson ,"5' 6""",125 lbs.,"69""",Orthodox,"Mar 30, 1989"
Daniel Rodriguez ,"6' 1""",170 lbs.,"74""",Southpaw,"Dec 31, 1986"
Dwight Grant ,"6' 1""",170 lbs.,"76""",Switch,"Sep 14, 1984"
Amanda Lemos ,"5' 4""",135 lbs.,"65""",Southpaw,"May 22, 1987"
Mizuki Inoue ,"5' 3""",125 lbs.,"65""",Orthodox,"Aug 19, 1994"
Ike Villanueva ,"6' 1""",225 lbs.,"73""",Orthodox,"Apr 04, 1984"
Jordan Wright ,"6' 2""",205 lbs.,"77""",Orthodox,"Oct 07, 1991"
Carlton Minus ,"5' 10""",170 lbs.,"74""",Orthodox,"Apr 26, 1993"
Matthew Semelsberger ,"6' 1""",170 lbs.,,,"Nov 23, 1992"
Timur Valiev ,"5' 6""",145 lbs.,"67""",Orthodox,"Jan 19, 1990"
Trevin Jones ,"5' 7""",140 lbs.,"70""",Southpaw,"Aug 04, 1990"
Anthony Smith ,"6' 4""",205 lbs.,"76""",Orthodox,"Jul 26, 1988"
Aleksandar Rakic ,"6' 4""",205 lbs.,"78""",Orthodox,"Feb 06, 1992"
Robbie Lawler ,"5' 11""",170 lbs.,"74""",Southpaw,"Mar 20, 1982"
Neil Magny ,"6' 3""",170 lbs.,"80""",Orthodox,"Aug 03, 1987"
Ji Yeon Kim ,"5' 7""",125 lbs.,"72""",Orthodox,"Oct 18, 1989"
Alexa Grasso ,"5' 5""",115 lbs.,"66""",Orthodox,"Aug 09, 1993"
Ricardo Lamas ,"5' 8""",145 lbs.,"71""",Orthodox,"May 21, 1982"
Bill Algeo ,"6' 0""",145 lbs.,"73""",Switch,"Jun 09, 1989"
Maki Pitolo ,"5' 10""",185 lbs.,"75""",Orthodox,"Nov 24, 1990"
Impa Kasanganay ,"5' 11""",185 lbs.,"75""",Orthodox,"Jan 17, 1994"
Alessio Di Chirico ,"6' 0""",185 lbs.,"74""",Orthodox,"Dec 12, 1989"
Zak Cummings ,"6' 0""",185 lbs.,"75""",Southpaw,"Aug 02, 1984"
Alex Caceres ,"5' 10""",145 lbs.,"73""",Southpaw,"Jun 20, 1988"
Austin Springer ,"5' 8""",145 lbs.,"71""",Orthodox,"May 12, 1987"
Sean Brady ,"5' 10""",170 lbs.,"72""",Orthodox,"Nov 23, 1992"
Christian Aguilera ,"5' 9""",170 lbs.,"72""",Switch,"Nov 25, 1991"
Polyana Viana ,"5' 5""",115 lbs.,"67""",Orthodox,"Jun 14, 1992"
Emily Whitmire ,"5' 5""",115 lbs.,"63""",Orthodox,"May 24, 1991"
Mallory Martin ,"5' 4""",115 lbs.,"63""",Orthodox,"Jan 29, 1994"
Hannah Cifers ,"5' 1""",115 lbs.,"62""",Orthodox,"Jun 26, 1992"
